Package                 License Link
_autorebase             https://cygwin.com/licensing.html
alternatives            http://www.polarhome.com/service/man/?qf=alternatives&af=0&sf=0&of=Cygwin&tf=2
autogen                 https://www.gnu.org/software/autogen/
base-cygwin             https://cygwin.com/licensing.html
base-files              https://cygwin.com/licensing.html
bash                    https://www.gnu.org/software/bash/
bison                   https://www.gnu.org/software/bison/
bzip2                   https://spdx.org/licenses/bzip2-1.0.6.html
ca-certificates         https://cygwin.com/licensing.html
coreutils               https://www.gnu.org/software/coreutils/
crypto-policies         https://cygwin.com/licensing.html
curl                    https://curl.haxx.se/docs/copyright.html
cygrunsrv               https://cygwin.com/licensing.html
cygutils                https://cygwin.com/licensing.html
cygwin                  https://cygwin.com/licensing.html
dash                    https://ecsoft2.org/dash-debian-almquist-shell
diffstat                https://invisible-island.net/diffstat/#bad_license
diffutils               https://www.gnu.org/software/diffutils/
dos2unix                https://directory.fsf.org/wiki/Dos2unix
editrights              http://www.polarhome.com/service/man/?qf=editrights&tf=2&of=Cygwin&sf=1
file                    http://www.polarhome.com/service/man/?qf=file&af=0&sf=0&of=Cygwin&tf=2
findutils               https://www.gnu.org/software/findutils/
flex                    https://github.com/westes/flex
gawk                    https://www.gnu.org/software/gawk/
getent                  https://en.wikipedia.org/wiki/Getent
git                     https://git-scm.com/about/free-and-open-source
gnupg                   https://gnupg.org/
grep                    https://www.gnu.org/software/grep/
groff                   https://www.gnu.org/software/groff/
gzip                    https://www.gnu.org/software/gzip/
hostname                http://www.polarhome.com/service/man/?qf=hostname&af=0&sf=0&of=Cygwin&tf=2
info                    http://www.polarhome.com/service/man/?qf=info&af=0&sf=0&of=Cygwin&tf=2
ipc-utils               https://cygwin.com/licensing.html
less                    https://www.gnu.org/software/less/
libargp                 https://www.gnu.org/software/libc/
libassuan0              https://www.gnupg.org/download/index.html#libassuan
libattr1                http://app.fujifilm-dsc.com/en-int/manual/gfx100/technical_notes/oss/libattr.html
libblkid1               https://linux.die.net/man/3/libblkid
libbrotlicommon1        https://github.com/bagder/libbrotli
libbrotlidec1           https://github.com/bagder/libbrotli
libbz2_1                https://spdx.org/licenses/bzip2-1.0.6.html
libcares2               https://cygwin.com/licensing.html
libcbor                 https://github.com/PJK/libcbor
libcom_err2             http://linuxsoft.cern.ch/cern/slc64/i386/yum/updates/repoview/libcom_err.html
libcrypt2               https://github.com/besser82/libxcrypt/blob/develop/COPYING.LIB
libcurl4                https://curl.haxx.se/docs/copyright.html
libdb5.3                https://github.com/berkeleydb/libdb/blob/master/LEGAL
libedit0                https://thrysoee.dk/editline/
libexpat1               https://github.com/libexpat/libexpat/blob/master/expat/COPYING 
libfdisk1               https://github.com/karelzak/util-linux/blob/master/libfdisk/COPYING
libffi6                 https://github.com/libffi/libffi/blob/master/LICENSE
libfido2                https://developers.yubico.com/libfido2/
libgc1                  https://www.hboehm.info/gc/license.txt
libgcc1                 https://docs.oracle.com/cd/E17952_01/backup-3.11-license-com-en/license-libgcc-libstdcxx.html
libgcrypt20             https://gnupg.org/software/libgcrypt/
libgdbm_compat4         https://www.gnu.org.ua/software/gdbm/manual/Copying.html
libgdbm4                https://www.gnu.org.ua/software/gdbm/manual/Copying.html
libgdbm6                https://www.gnu.org.ua/software/gdbm/manual/Copying.html
libgmp10                https://gmplib.org/
libgnutls30             https://www.gnutls.org
libgpg-error0           https://gnupg.org/
libgpgme11              https://gnupg.org/
libgsasl7               https://www.gnu.org/software/gsasl/
libgsasl-common         https://www.gnu.org/software/gsasl/
libgssapi_krb5_2        https://web.mit.edu/kerberos/krb5-1.15/doc/mitK5license.html?highlight=license
libguile2.2_1           https://www.gnu.org/software/guile/manual/html_node/Guile-License.html#Guile-License
libhogweed4             https://git.lysator.liu.se/nettle/nettle/-/tree/master 
libiconv2               https://www.gnu.org/software/libiconv/
libidn11                https://www.gnu.org/software/libidn/
libidn2_0               https://www.gnu.org/software/libidn/
libintl8                https://www.gnu.org/software/gettext/manual/html_node/Licenses.html
libk5crypto3            https://web.mit.edu/kerberos/
libkrb5_3               https://web.mit.edu/kerberos/krb5-1.15/doc/mitK5license.html?highlight=license
libkrb5support0         https://web.mit.edu/kerberos/krb5-1.15/doc/mitK5license.html?highlight=license
libltdl7                https://www.gnu.org/software/libtool/manual/html_node/Using-libltdl.html
liblz4_1                https://github.com/lz4/lz4/blob/dev/LICENSE
liblzma5                https://tukaani.org/xz/
libmetalink3            https://www.openhub.net/p/libmetalink
libmpfr6                https://www.mpfr.org
libncursesw10           https://invisible-island.net/ncurses/ncurses-license.html
libnettle6              https://git.lysator.liu.se/nettle/nettle/-/tree/master 
libnghttp2_14           https://nghttp2.org/documentation/package_README.html#license
libntlm0                http://www.nongnu.org/libntlm/
libopenldap2_4_2        https://www.libssh2.org/license.html
libopenldap2_5_0        https://www.openldap.org/doc/admin25/preface.html 
libopenssl100           https://www.openssl.org/source/license-openssl-ssleay.txt
libopts25               https://directory.fsf.org/wiki/Libopts
libp11-kit0             https://github.com/p11-glue/p11-kit/blob/master/COPYING
libpcre1                https://github.com/vmg/libpcre/blob/master/LICENCE
libpcre2_8_0            https://github.com/vmg/libpcre/blob/master/LICENCE
libpipeline1            https://gitlab.com/cjwatson/libpipeline/-/blob/master/COPYING
libpopt0                https://www.openhub.net/p/popt
libpopt-common          https://www.openhub.net/p/popt
libpsl5                 https://klevio.com/opensource/_/l/libpsl5/index.html
libreadline7            https://tiswww.case.edu/php/chet/readline/rltop.html
libsasl2_3              https://www.cyrusimap.org/dev/imap/download/getcyrus.html#licensing
libsigsegv2             https://www.gnu.org/software/libsigsegv/ 
libsmartcols1           https://github.com/karelzak/util-linux/blob/master/libsmartcols/COPYING
libssh2_1               https://github.com/libssh2/libssh2/blob/master/COPYING
libssl1.1               https://github.com/openssl/openssl/blob/master/LICENSE.txt
libstdc++6              https://gcc.gnu.org/onlinedocs/libstdc++/manual/license.html
libtasn1_6              https://www.gnu.org/software/libtasn1
libunistring2           https://www.gnu.org/software/libunistring
libusb0                 https://sourceforge.net/p/libusb-win32/wiki/Home/
libuuid1                https://linux.die.net/man/3/libuuid
libxml2                 http://www.xmlsoft.org/FAQ.html
libxslt                 http://www.xmlsoft.org/libxslt/intro.html
libxxhash0              https://github.com/Cyan4973/xxHash
libzstd1                https://salsa.debian.org/med-team/libzstd/-/blob/master/COPYING
lndir                   http://www.mit.edu/afs/sipb/project/sipbsrc/rt/lndir/COPYING
login                   http://www.polarhome.com/service/man/?qf=login&af=0&sf=0&of=Cygwin&tf=2
m4                      https://www.gnu.org/software/m4/
make                    https://www.gnu.org/software/make/
man-db                  https://launchpad.net/man-db
mintty                  https://github.com/mintty/mintty/blob/master/LICENSE
ncurses                 https://invisible-island.net/ncurses/ncurses-license.html
openssh                 https://cvsweb.openbsd.org/src/usr.bin/ssh/LICENCE?rev=HEAD
